id,imdb_id,popularity,budget,revenue,original_title,cast,homepage,director,tagline,keywords,overview,runtime,genres,production_companies,release_date,vote_count,vote_average,release_year,budget_adj,revenue_adj
79218,tt2100546,1.844119,0,0,Ice Age: A Mammoth Christmas,Billy Gardell|Ray Romano|John Leguizamo|Queen Latifah|Denis Leary,http://www.blueskystudios.com,Karen Disher,Why am I on Santa's naughty list? Why? Why?,,"When Sid accidentally destroys Manny's heirloom Christmas rock and ends up on Santa's naughty list, he leads a hilarious quest to the North Pole to make things right and ends up making things much worse. Now it's up to Manny and his prehistoric posse to band together and save Christmas for the entire world!",26,Animation|Family|TV Movie,20th Century Fox|Blue Sky Studios,11/24/11,107,6.1,2011,0,0
296244,tt3949586,0.132698,200000,0,Plague,Tegan Crowley|Scott Marcus|Steven Kennedy|Don Bridges|Nick Stribakos,http://www.plaguefilm.com/,Kostas Ouzas|Nick Kozakis,,australian|rural setting|gender roles|zombie apocalypse,"An independent Australian horror/drama that explores the societal norms that break down among a small group of survivors in a post-apocalyptic world. Ravenous hordes of infected zombies terrorize the survivors, but it is the horror within their own sanctuary that they must fear the most.",86,Drama|Horror,Burning Ships Productions,10/30/14,11,3.9,2014,184218.210154291,0
295315,tt2751310,0.130742,0,0,Sex Ed,Haley Joel Osment|Laura Harring|Abby Elliott|Glen Powell|Lorenza Izzo,,Isaac Feder,Fake it 'til you make it.,,Eddie lands his first teaching gig at an inner city middle school and finds his highly pubescent pupils are receiving no form of sexual education. Eddie isn't really equipped to teach them...he's not exactly experienced romantically.,90,Romance|Comedy,Sweet Tomato Films,11/7/14,29,5.1,2014,0,0
324253,tt3272570,0.143042,0,0,All Things Must Pass,Dave Grohl|Elton John|Bruce Springsteen|Chris Cornell|Ahmir-Khalib Thompson,https://www.facebook.com/towerrecordsdoc,Colin Hanks,The rise and fall of Tower Records,record industry,"Established in 1960, Tower Records was once a retail powerhouse with two hundred stores, in thirty countries, on five continents. From humble beginnings in a small-town drugstore, Tower Records eventually became the heart and soul of the music world, and a powerful force in the music industry. In 1999, Tower Records made $1 billion. In 2006, the company filed for bankruptcy. What went wrong? Everyone thinks they know what killed Tower Records: The Internet. But that's not the story. All Things Must Pass is a feature documentary film examining this iconic company's explosive trajectory, tragic demise, and legacy forged by its rebellious founder, Russ Solomon.",94,Documentary,Company Name,10/16/15,22,7,2015,0,0
367215,tt5083702,0.106091,0,0,The Fear of 13,Sammy Silverwatch,http://www.thefearof13.com/,David Sington,We are the stories we tell.,prison|prisoner|death row|reenactment|legal system,"After 23 years on Death Row a convicted murderer petitions the court asking to be executed, but as his story unfolds, it becomes clear that nothing is what it seems.",96,Thriller|Documentary,,10/15/15,19,8.2,2015,0,0
15434,tt0758781,0.268526,10000000,0,Seed,Michael ParÃ©|Will Sanderson|Ralf Moeller|Jodelle Ferland|Thea Gill,,Uwe Boll,,horror|revenge|electric chair,"After surviving the electric chair, convicted serial killer Max Seed is buried alive. He digs himself out of the grave and goes on a killing spree. Taking revenge on the men who put him there and random unfortunates alike.",90,Horror,Boll Kino Beteiligungs GmbH & Co. KG|Pitchblack Pictures Inc.,4/27/07,12,3.4,2007,10516685.8263154,0
42982,tt1334272,0.520388,0,0,Robot Chicken: Star Wars Episode II,Seth Green|Bob Bergen|Ahmed Best|Breckin Meyer|Abraham Benrubi,,Seth Green,,,"Seth Green and Matthew Senreich serve up more hilarious Star Wars-inspired satire in this second compilation of sketches featuring the zany stop-motion animation of Adult Swim's ""Robot Chicken."" Gary the stormtrooper deals with irascible boss Darth Vader on Take Your Daughter to Work Day, while Anakin babysits a certain up-and-coming Jedi. Carrie Fisher, Billy Dee Williams, Conan O'Brien and other stars provide voices.",23,Comedy|Science Fiction,,11/16/08,14,6.2,2008,0,0
184992,tt2261434,0.068614,0,0,Viaggio Sola,Margherita Buy|Stefano Accorsi|Fabrizia Sacchi|Gianmarco Tognazzi|Alessia Barela,,Maria Sole Tognazzi,,woman director,"Single and middle-aged, beautiful Irene (Margarita Buy) is wholly devoted to her job as an inspector of luxury hotels. Constantly on the road, she indulges in expensive pleasures at impeccable resorts, but always incognito and alone, soon escaping to the next exotic destination with her checklist and laptop in tow. When her best friend and ex, Andrea (Stefano Accorsi), who has always been a source of emotional support, suddenly becomes unavailable, Irene is thrown into a deep existential crisis. ""Luxury is a form of deceit,"" she is told by a fellow traveller in the fog of a steam room, and thus begins Irene's quest to bring more meaning into her life.",85,Drama,Ministero per i Beni e le AttivitÃ  Culturali|Augustus Color|Bianca Film,4/24/13,17,5.4,2013,0,0
10854,tt0470000,0.187887,0,0,Wicked Little Things,Lori Heuring|Scout Taylor-Compton|ChloÃ« Grace Moretz|Geoffrey Lewis|Ben Cross,,J.S. Cardone,Prey for them,gallery|loss of husband|mine accident,"Karen, Sarah, and Emma Tunney are all moving to a small town in Pennsylvania where, unknown to them, in 1913, a horrid mine accident trapped dozens of children alive, underground. But there's a problem. They're still alive.",94,Drama|Horror,After Dark Films|Millennium Films,1/1/06,26,4.5,2006,0,0
347762,tt4163224,0.131739,0,0,Most Likely to Die,Heather Morris|Ryan Doom|Perez Hilton|Chad Addison|Tatum Miranda,,Anthony DiBlasi,One killer reunion.,,"A group of former classmates gather for a pre-party at one of their homes the night before their 10-year high school reunion, and one by one, they are brutally slain in a manner befitting each's senior yearbook superlative.",81,Horror,Marvista Entertainment|Snowfall Films,8/30/15,12,4.2,2015,0,0
26018,tt1528734,0.1298,0,0,Food Matters,Ian Brighthope|Jerome Burne|Phillip Day|Charlotte Gerson|Dr. Dan Rogers,http://www.foodmatters.tv/_webapp/About%20The%20Film,James Colquhoun,You are what you eat.,medicine|health|cancer|food|pharmacology,"""With nutritionally-depleted foods, chemical additives and ourtendency to rely upon pharmaceutical drugs to treat what's wrong with our malnourished bodies, it's no wonder that modern society is getting sicker. 'Food Matters' sets about uncovering the trillion dollar worldwide ""Sickness Industry"" and giving people some scientifically verifiable solutions for curing disease naturally."" J. Colquhoun",80,Documentary,Sunfilm Entertainment,1/1/08,16,7,2008,0,0
14424,tt0497972,0.26101,0,0,Sex and Death 101,Simon Baker|Winona Ryder|Julie Bowen|Leslie Bibb|Skyler James Sandak,http://www.sexanddeath101movie.com/,Daniel Waters,,,"A guy's life is turned around by an email, which includes the names of everyone he's had sex with and ever will have sex with. His situation gets worse when he encounters a femme fatale (Ryder) who targets men guilty of sex crime.",100,Comedy|Romance|Drama,Avenue Pictures Productions|Sandbar Pictures,6/15/07,36,5.5,2007,0,0
230779,tt1621046,0.221957,10000000,0,Cesar Chavez,Michael PeÃ±a|Rosario Dawson|America Ferrera|Jacob Vargas|Gabriel Mann,https://www.facebook.com/CesarChavezMovie,Diego Luna,History is made one step at a time.,,"A biography of the civil-rights activist and labor organizer Cesar Chavez.  Chronicling the birth of a modern American labour movement, Cesar Chavez tells the story of the famed civil rights leader and labour organiser torn between his duties as a husband and father and his commitment to securing a living wage for farm workers. Passionate but soft-spoken, Chavez embraced non-violence as he battled greed and prejudice in his struggle to bring dignity to working people.",102,Drama,,3/28/14,10,5.3,2014,9210910.50771459,0
13333,tt0077594,0.581236,0,0,Game of Death,Bruce Lee|Kareem Abdul-Jabbar|Chuck Norris|Colleen Camp|Dean Jagger,,Robert Clouse,Bruce Lee challenges the underworld to a Game of Death.,martial arts,"Bruce Lee plays Billy Lo, a HongKong based movie actor, who is a box office draw. His girlfriend, Ann Morris is a singer who is also climbing to the top. Now it seems the syndicate wants Billy and Ann to join their ""management firm"". But Billy knows that they will be treated like property, so he refuses and tells her to do the same. So they try to ""encourage"" him to join but he still refuses. He would be advised that they will not stop, so he must stop them, permanently. He is even more hesitant to do that but when an attempt on his life is made, he fakes his death and alters his appearance, and decides to go after the syndicate; taking them out one at a time.",103,Drama|Action|Thriller|Crime,Golden Harvest Company|Concord Productions Inc.,3/22/78,50,6.4,1978,0,0
18837,tt0110426,0.120147,0,0,Macross Plus,Takumi Yamazaki|UnshÅ Ishizuka|Rica Fukami|Mako HyÅdÅ|Kenji Utsumi,http://www.macross.co.jp/,Shoji Kawamori|Shinichiro Watanabe,,fighter pilot|science fiction|fighter plane,"Three decades after the great war between the humans and the Zentradi, the U.N. government is developing new technologies to use in their transforming fighter aircraft by running tests on the colony planet Eden. Military test pilots and former childhood friends, loose cannon Isamu Alva Dyson and the Zentradi mixed race Guld Goa Bowman, are selected to each pilot a new aircraft (Shinsei Industries' YF-19 &amp; General Galaxy's YF-21) for Project Super Nova, to choose the newest successor to the VF-11 Thunderbolt variable fighter which is currently still in use by the U.N. Spacy military forces. Their own personal grudges end up disrupting the tests, and begin to wreak havoc on the program.",115,Science Fiction|Action|Adventure|Animation,Bandai Visual Company (JAPAN)|Studio Nue|Triangle Staff,8/24/94,24,7.1,1994,0,0
268171,tt2113659,0.306919,10000000,0,Elsa & Fred,Shirley MacLaine|Christopher Plummer|Chris Noth|Marcia Gay Harden|Scott Bakula,,Michael Radford,It's never too late.,widower,"The story of two people who at the end of the road, discover that it's never too late to love and make dreams come true.",104,Comedy|Family|Romance,Riverside Entertainment|Rio Negro|Media House Capital|Cuatro Plus Films|Defiant Pictures,3/7/14,17,6.5,2014,9210910.50771459,0
320420,tt3249478,0.00584399999999999,0,0,Love Me,,,Jonathon Narducci,,mail order bride,"Love Me follows Western men and Ukrainian women as they embark on an unpredictable and riveting journey in search of love through the modern ""mail-order bride"" industry.",94,Documentary,,4/6/14,13,7,2014,0,0
9965,tt0423505,0.484325,0,0,"Wake Up, Ron Burgundy: The Lost Movie",Will Ferrell|Christina Applegate|Paul Rudd|Steve Carell|David Koechner,,Adam McKay,the Adventure Continues...,television|moderator|anchorman,"While Ron Burgundy's rivalry with Veronica Corningstone escalates quickly, a group of unprofessional thieves better known as 'The Alarm Clock' try to make the truth known, whatever that may mean...",93,Comedy,DreamWorks SKG|Apatow Productions,12/28/04,34,5.6,2004,0,0
16246,tt0071571,0.225194,0,0,Gone in 60 Seconds,H.B. Halicki|Marion Busia|Jerry Daugirda|James McIntyre|George Cole,,H.B. Halicki|Steve Peterson,You can lock your car. But if he wants it...it's GONE IN 60 SECONDS,helicopter|car thief|police|mustang|grand theft auto,"Insurance investigator Maindrian Pace and his team lead double-lives as unstoppable car thieves. When a South American drug lord pays Pace to steal 48 cars for him, all but one, a 1973 Ford Mustang, are in the bag. As Pace prepares to rip-off the fastback, codenamed ""Eleanor"", in Long Beach, he is unaware that his boss has tipped off the police after a business dispute.",105,Action|Crime|Drama|Thriller,Halicki Productions,7/28/74,12,5.7,1974,0,0
83564,tt1957945,0.625531,0,0,La luna,Krista Sheffler|Tony Fucile|Phil Sheridan,,Enrico Casarosa,A young boy discovers his family's most unusual line of work.,moon|tradition|pixar animated short|coming of age|discovery,"A young boy comes of age in the most peculiar of circumstances. Tonight is the very first time his Papa and Grandpa are taking him to work. In an old wooden boat they row far out to sea, and with no land in sight, they stop and wait. A big surprise awaits the boy as he discovers his family's most unusual line of work. Should he follow the example of his Papa, or his Grandpa? Will he be able to find his own way in the midst of their conflicting opinions and timeworn traditions?",7,Animation|Comedy|Family|Fantasy,Pixar Animation Studios,1/1/11,171,7.9,2011,0,0
24133,tt0988043,0.130306,0,0,One-Eyed Monster,Jason Graham|Charles Napier|Jeff Denton|Veronica Hart|Bart Fletcher,,Adam Fields,,,"In February 2007, ten people went to the remote mountains of Northern California to shoot an adult movie. What happened next was something no one expected, but everyone saw coming. Amber Benson, Charles Napier, and Ron Jeremy star in an homage to ""Alien"", ""The Thing"", and porn.",84,Comedy|Horror,,11/11/08,11,5.1,2008,0,0
307946,tt3640682,0.318459,0,0,I Smile Back,Sarah Silverman|Josh Charles|Thomas Sadoski|Mia Barron|Terry Kinney,,Adam Salky,"Love desperately, live recklessly.",,"Laney is an attractive, intelligent suburban wife and devoted mother of two adorable children. She has the perfect husband who plays basketball with the kids in the driveway, a pristine house, and a shiny SUV for carting the children to their next activity. However, just beneath the faÃ§ade lie depression and disillusionment that send her careening into a secret world of reckless compulsion. Only very real danger will force her to face the painful root of her destructiveness and its crumbling effect on those she loves.",85,Drama,Egoli Tossell Film|Koppelman/Levien,10/23/15,25,5.7,2015,0,0
177566,tt2552498,0.19911,50000,0,Jack the Giant Killer,Ben Cross|Jane March|Jamie Atkins|Vicki Glover|Tanya Winsor,http://www.theasylum.cc/product.php?id=221,Mark Atkins,"Jack went up the beanstalk, and brought down Hell.",fairy tale|fantasy world|giant,"A giant beanstalk brings Jack to a land in the clouds filled with snarling, evil beasts. When the creatures make their way to the ground, Jack must figure out how to get back down before they destroy earth and everyone in it.",87,Action|Fantasy,The Asylum,3/12/13,15,4,2013,46801.6676370212,0
13437,tt0275947,0.23278,0,0,Avenging Angelo,Sylvester Stallone|Madeleine Stowe|Anthony Quinn|Raoul Bova|Harry Van Gorkum,,Martyn Burke,Her life is his job.,female nudity|hitman|bodyguard|mafia boss|comedy,"A woman who has recently discovered that she is the daughter of Angelo, a major mafia boss, decides to wreak vengeance when he is killed by a hitman. She's aided by his faithful bodyguard, with whom she soon falls in love.",97,Action|Comedy|Crime,Epsilon Motion Pictures|Franchise Pictures|Dante Entertainment|Warner Bros.|Quinta Communications,8/30/02,22,5,2002,0,0
53021,tt0058265,0.107326,3500000,0,"Kiss Me, Stupid",Dean Martin|Kim Novak|Ray Walston|Felicia Farr|Cliff Osmond,,Billy Wilder,"It happened in Climax, Nevada",piano teacher|playboy,"A jealous piano teacher Orville Spooner sends his beautiful wife, Zelda, away for the night while he tries to sell a song to a famous nightclub singer Dino, who is stranded in town",125,Comedy|Romance,"Phalanx Productions|Mirisch Corporation, The|Claude Productions",12/22/64,13,6.5,1964,24605935.9359851,0
10443,tt0106881,0.546652,0,0,Fearless,Jeff Bridges|Isabella Rossellini|Rosie Perez|Tom Hulce|John Turturro,,Peter Weir,Some people are afraid of nothing.,grief|disaster|guilt|mental health,"After a terrible air disaster, survivor Max Klein emerges a changed person. Unable to connect to his former life or to wife Laura, he feels godlike and invulnerable. When psychologist Bill Perlman is unable to help Max, he has Max meet another survivor, Carla Rodrigo, who is racked with grief and guilt since her baby died in the crash which she and Max survived.",122,Drama,Spring Creek Productions|Warner Bros.,10/15/93,23,6.5,1993,0,0
251232,tt2459156,0.239934,0,0,Copenhagen,Gethin Anthony|Frederikke Dahl Hansen|Sebastian Armesto|Tamzin Merchant|Mille Dinesen,http://www.copenhagenthemovie.com/,Mark Raso,"When the girl of your dreams is half your age, it's time to grow up.",,"After weeks of traveling through Europe, the immature William finds himself in Copenhagen, the place of his fatherâ€™s birth. He befriends the youthful Effy, who works in Williamâ€™s hotel as part of an internship program, and they set off to find Williamâ€™s last living relative. Effyâ€™s mix of youthful exuberance and wisdom challenges William unlike any  woman ever has. As the attraction builds, he must come to grips with destabilizing elements of his familyâ€™s sordid past.",98,Adventure|Romance|Drama,Heretic Films|Scorched Films|Fidelio,10/3/14,41,6.6,2014,0,0
228355,tt2571140,0.02402,0,0,Boss,Akshay Kumar|Shiv Pandit|Mithun Chakraborty|Ronit Roy|Aditi Rao Hydari,,Anthony D'Souza,The BOSS is here.,,A young man disowned by his family is aided by a big business owner.,143,Action|Comedy|Drama,,10/16/13,17,5.9,2013,0,0
266537,tt3489470,0.390044,0,0,Pas son genre,Ã‰milie Dequenne|LoÃ¯c Corbery|Anne Coesens|Martine Chevalier|Annelise Hesme,,Lucas Belvaux,Opposites attract; but is that enough?,,"Clement, a young philosophy teacher, is sent to Arras for a year. He meets Jennifer, a pretty hair stylist, and the two freely share their hearts and bodies as they try to overcome the cultural and social divide between them.",111,Comedy|Romance,Artemis Film|Agat Films & Cie|Radio TÃ©lÃ©vision Belge Francophone (RTBF)|France 3 Cinema,4/30/14,31,6,2014,0,0
16205,tt0816539,0.183386,0,0,Jack Brooks: Monster Slayer,Robert Englund|Trevor Matthews|Daniel Kash|David Fox|Dean Hawes,,Jon Knautz,...I used to be a plumber,camping|vomit|demon|science,"As a child Jack Brooks witnessed the brutal murder of his family. Now a young man he struggles with a pestering girlfriend, therapy sessions that resolve nothing, and night classes that barely hold his interest. After unleashing an ancient curse, Jack's Professor undergoes a transformation into something not-quite- human, and Jack is forced to confront some old demons... along with a few new ones.",85,Action|Comedy|Horror,Brookstreet Pictures|Sound Venture Productions,10/9/07,20,5.4,2007,0,0
11496,tt0095975,0.318343,0,0,Renegade,Terence Hill|Robert Vaughn|Ross Hill|Norman Bowler|Donald Hodson,,Enzo Barboni,You call me Trinity - they call me Renegade.,arizona|horse|truck,"While on his travel across the Southwestern United States, with his Jeep CJ Renegade and his chestnut colt named Joe Brown, Luke meets Matt, son of a friend of his, Moose, who is in jail. Moose asks Luke to take care of Matt, and to help him to take possession of a piece of land. So starts their travel, full of adventures...",92,Action|Adventure|Comedy|Western,CinecittÃ |Paloma Films,10/30/87,24,5.6,1987,0,0
8277,tt0974959,0.946065,0,0,American Pie Presents: Beta House,John White|Steve Talley|Christopher McDonald|Eugene Levy|Jake Siegel,,Andrew Waller,,sex|college|fraternity|young adult,"Erik, Ryan, and Cooze start college and pledge the Beta House fraternity, presided over by none other than legendary Dwight Stifler. But chaos ensues when a fraternity of geeks threatens to stop the debauchery and the Betas have to make a stand for their right to party.",88,Comedy,Universal Pictures|Rogue Pictures,12/10/07,285,5.4,2007,0,0
39386,tt0380349,0.383764,0,0,L'enquÃªte corse,Christian Clavier|Jean Reno|Caterina Murino|Didier Flamand|Pierre Salasca,,Alain BerbÃ©rian,,,"Jack Palmer is a Paris-based detective with a huge ego. Ange Leoni is a rebel native of Corsica whose location can't be pinned down by even the most dogged of detectives. Approached by an obscure, small-time attorney and charged with the seemingly simple task of locating the missing Leoni, gifted gumshoe Palmer accepts the job under the assumption that it will be the easiest money of his professional career. But this superstar sleuth is about to find out just how mistaken he was...",92,Comedy,Gaumont|Ouille Productions|LÃ©gende Productions,10/6/04,45,5.8,2004,0,0
253980,tt3438640,1.375493,0,0,Marvel One-Shot: All Hail the King,Ben Kingsley|Scoot McNairy|Lester Speight|Sam Rockwell|Matt Gerald,,Drew Pearce,The Toast of Croydon is Back.,marvel comic|based on comic book|iron man|marvel cinematic universe|mandarin,A documentary filmmaker interviews the now-famous Trevor Slattery from behind bars.,14,Comedy|Action|Drama|Thriller|Fantasy,Marvel Studios,2/4/14,72,7.1,2014,0,0
11107,tt0116168,0.254728,0,0,Eddie,Whoopi Goldberg|Frank Langella|Dennis Farina|Richard Jenkins|Lisa Ann Walter,,Steve Rash,The newest coach in the NBA has got the Knicks right where she wants them.,new york|trainer|chauffeur|role of women|sport,"Eddie is a New York limo driver and a fanatical follower of the New York Knicks professional basketball team. The team is struggling with a mediocre record when, in mid-season, ""Wild Bill"" Burgess, the new owner, as a public relations gimmick, stages an 'honorary coach' contest, which Eddie wins. The fans love it, so ""Wild Bill"" fires the coach and hires her. She takes the bunch of overpaid prima",100,Action|Comedy,Hollywood Pictures|PolyGram Filmed Entertainment|Island Pictures,5/31/96,23,5.8,1996,0,0
250766,tt2382298,0.232241,0,0,Life Itself,Roger Ebert|Werner Herzog|Martin Scorsese|Errol Morris|Ava DuVernay,,Steve James,,,"Life Itself recounts the surprising and entertaining life of renowned film critic and social commentator Roger Ebert. The film details his early days as a freewheeling bachelor and Pulitzer Prize winner, his famously contentious partnership with Gene Siskel, his life-altering marriage, and his brave and transcendent battle with cancer.",120,Documentary,Film Rites|Kartemquin Films|CNN Films,7/4/14,104,7.7,2014,0,0
10359,tt0142804,0.166168,10000000,0,Resurrection,Christopher Lambert|Leland Orser|Barbara Tyson|Mike Anscombe|Jeff J.J. Authors,,Russell Mulcahy,,chicago|jesus christ,"A seasoned police detective and his partner have just uncovered a string of unusual murders that lead them to a serial killer, who believes that he is the descendant of Judas.",103,Crime|Drama|Horror,Interlight|Baldwin/Cohen Productions,6/5/99,19,6.1,1999,13090528.4659432,0
11630,tt0098966,0.278612,0,0,Three Men and a Little Lady,Tom Selleck|Steve Guttenberg|Ted Danson|Nancy Travis|Robin Weisman,,Emile Ardolino,,london|marriage proposal|daughter,"Sylvia's work increasingly takes her away from the three men who help bring up Mary, her daughter. When she decides to move to England and take Mary with her, the three men are heartbroken at losing the two most important females in their lives.",104,Comedy|Family,Touchstone Pictures|Interscope Communications,11/21/90,56,5.3,1990,0,0
59408,tt0066122,0.133551,0,0,Deep End,Jane Asher|John Moulder-Brown|Karl Michael Vogler|Christopher Sanford|Diana Dors,,Jerzy Skolimowski,If you can't have the real thing... you do all kinds of unreal things.,diving|sex|adultery|nudity|fantasy,"15-year-old Mike takes a job at the local swimming baths, where he becomes obsessed with an attractive young woman, Susan, who works there as an attendant. Although Susan has a fiancÃ©, Mike does his best to sabotage the relationship, to the extent of stalking both her and her fiancÃ©.",90,Romance|Drama|Comedy,Maran Film|Bavaria Film|Kettledrum Productions,9/1/70,13,6.1,1970,0,0
351964,tt3793788,0.374853,0,0,The Escort,Lyndsy Fonseca|Michael Doneger|Bruce Campbell|Sonya Walger|Rumer Willis,http://willslocombe.com/?project=the-escort,Will Slocombe,Every story has a price.,father-son relationship|prostitute|magazine|escort service|writer,"Desperate for a good story, a sex-addicted journalist throws himself into the world of high-class escorts when he starts following a Stanford-educated prostitute.",88,Comedy|Romance,Skyhook Productions|Cloverhill Pictures|Perspective Productions,6/15/15,41,5.9,2015,0,0
72391,tt1704614,0.659941,0,0,Marley & Me: The Puppy Years,Travis Turner|Julia Rhodes|Geoff Gustafson|Christopher Goodman|Alex Zahara,,Michael Damian,The World's Worst dog is Back,puppy,"Fall into puppy love with â€œthe worldâ€™s worst dogâ€, who now has a frisky voice and an attitude to match. Join Marley for his mischievous puppy years, as he and his summer pal, Bodie Grogan, wreak havoc on a neighborhood dog contest. Marley outwits Dobermans, Shepherds and Collies, while stealing hearts in his own unique and lovable way. Get your paws on MARLEY &amp; ME: THE PUPPY YEARS and fetch big laughs for the whole family!",86,Family|Comedy|Adventure,20th Century Fox,6/1/11,24,5.7,2011,0,0
